workspace_id,category_name,document_id,dataset,text,uri,element_metadata,label,label_type
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"导演是个明白人
",guichu_2002020024-1-739,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"我，真香王！
",guichu_2002020024-1-5526,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"当年看还是30W，泪目了
",guichu_2002020024-1-4002,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"阿能出了！还愿
",guichu_2002020024-1-1540,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"come on！*3
",guichu_2002020024-1-2312,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"大意了大意了大意了
",guichu_2002020024-1-1298,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"变异老八
",guichu_2002020024-1-4309,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"姥爷不要啊
",guichu_2002020024-1-1928,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"牛皮有制作
",guichu_2002020024-1-4934,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"每天一遍根本不能自拔
",guichu_2002020024-1-4131,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"两次挑眉，就是两次奥利给
",guichu_2002020024-1-3758,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"男儿何不带吴钩，直取北美50州
",guichu_2002020024-1-4825,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"我在杠682的时候听这首歌
",guichu_2002020024-1-3478,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"弹屏好像被削两次了
",guichu_2002020024-1-5652,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"这男人的味道竟该死的甜美！
",guichu_2002020024-1-5096,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"枭和皇子
",guichu_2002020024-1-694,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"南邮，我来了
",guichu_2002020024-1-5236,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"sorry哪咤
",guichu_2002020024-1-1650,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"没我开开
",guichu_2002020024-1-1005,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"我是梅西 我现在慌得一批
",guichu_2002020024-1-3156,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"卢本伟NB，不跟你多逼逼
",guichu_2002020024-1-3335,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"1.5倍速新世界。
",guichu_2002020024-1-4541,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"套头毛衣我真的没了
",guichu_2002020024-1-952,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"溜了，溜了。
",guichu_2002020024-1-470,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"初音未来我老婆行不行
",guichu_2002020024-1-3550,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"这不比成神之日催泪？，
",guichu_2002020024-1-1103,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"这个女人我覃珊倩要定了
",guichu_2002020024-1-2123,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"不行了。憋不住了
",guichu_2002020024-1-256,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"让他们来的更猛烈些吧！
",guichu_2002020024-1-2120,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"干掉坂田
",guichu_2002020024-1-3355,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"每天一遍然后去学高数，，
",guichu_2002020024-1-4573,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"白洋淀
",guichu_2002020024-1-13,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"JO→JO→
",guichu_2002020024-1-984,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"giao( •̀∀•́ )
",guichu_2002020024-1-888,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"我。。。。mmp
",guichu_2002020024-1-1387,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024," 草 （双语）
",guichu_2002020024-1-1753,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"大妈快住手，别打我老婆
",guichu_2002020024-1-1048,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"小锤更无赖
",guichu_2002020024-1-759,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"是男的  
",guichu_2002020024-1-3317,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"进来吃饭的你们是魔鬼吗hhhh笑死
",guichu_2002020024-1-1672,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"可惜我猴子都可以打
",guichu_2002020024-1-2343,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"啊啊啊啊，不行了
",guichu_2002020024-1-3239,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"你来购物
",guichu_2002020024-1-3366,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"我哭了你们呢！
",guichu_2002020024-1-1155,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"片尾曲的奔驰
",guichu_2002020024-1-664,{},True,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"非死即伤娃
",guichu_2002020024-1-1256,{},False,Standard
guichu_2002020024,Sentiment Analysis,1,guichu_2002020024,"红红火火哈哈哈
",guichu_2002020024-1-5889,{},True,Standard
